"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm46206",42.036152302752,-1.05480190925174,0.325979463930644,-3.23579251445164,0.00121305524322822,0.00812851048575532
"Gm33533",192.077820926642,1.01365059379403,0.201697926685384,5.02558757272285,5.01893470781943e-07,8.6457382530683e-06
"D630023F18Rik",61.0313301909902,1.30696686505658,0.236950259817617,5.51578574365173,3.47225074533879e-08,7.62918715508466e-07
"Spag16",31.8170895170564,1.02370396341993,0.316883896497702,3.23053324808935,0.00123559532767172,0.00825124223432876
"Slc23a3",13.7468431848205,-1.35180894353457,0.465442298260409,-2.90435344743474,0.00368012448112188,0.020097038547902
"Gm32793",41.6564388198361,1.42642260107255,0.328514122939228,4.34204346622999,1.411635961208e-05,0.000171784530924414
"Gm32974",11.6602420088561,1.63322375714601,0.592004589962545,2.7588025242327,0.00580135802710314,0.0291380628293663
"Gm41905",45.7045189917184,-1.28741265982344,0.242031270526289,-5.31919969276699,1.04224691413648e-07,2.09878443029153e-06
"Gm35591",28.9188031846933,-1.29770923916061,0.3518889068173,-3.68783787729455,0.000226167669383269,0.00196558046577674
"Gpr35",190.201354639592,-1.15118411945775,0.131838608813457,-8.73176780169608,2.50722545975251e-18,1.89820290330797e-16
"Crocc2",75.4945892277049,1.04852192917565,0.227616141424151,4.60653591004243,4.09432382426549e-06,5.79105193768123e-05
"Slc45a3",164.867644272988,1.02726347359353,0.125982582880353,8.15401184915485,3.52046356306045e-16,2.17611439168544e-14
"Chit1",10.0229363568108,1.47778682401296,0.521097227267275,2.83591381163691,0.00456947756150814,0.0239483781081134
"Ptprv",3622.16094782245,-1.58803005113142,0.0653768188569422,-24.2904148427037,2.47533211770835e-130,2.6089721228073e-126
"Ptpn7",378.029449733169,-1.45152826050516,0.11543530441134,-12.5743876009788,2.92054639482259e-36,7.92319899028745e-34
"Tnnt2",186.466314675292,1.41779697055726,0.160792807021382,8.81753976947937,1.17002044958628e-18,9.10518304452939e-17
"Lhx9",42.0675064316342,2.22414225954908,0.512482761799978,4.33993575069197,1.42524380944441e-05,0.000173237631175343
"Rgs16",371.484566726824,1.35957793450267,0.495878771714549,2.74175466274105,0.00611119678014323,0.0304204910057436
"Gm38440",33.0264971277272,1.03372609551425,0.314568560635368,3.28617104464071,0.00101559319798044,0.00700974626719152
"Tdrd5",54.7757795878336,1.00148876004213,0.232884371990934,4.30036911227823,1.70513858779595e-05,0.000203833978184934
"Pappa2",11.4969006184867,1.32468528045237,0.495999269778179,2.67074038444612,0.00756841582265468,0.0362160377912577
"Fcrla",8.72503564491882,-1.99661673284333,0.687539790061493,-2.90400171990737,0.0036842613606762,0.0201131014975093
"Gm39701",20.3119888465704,-2.9330458267895,0.464703652464643,-6.3116478883554,2.76079801708639e-10,8.24566783910526e-09
"Ccdc121",22.2104503801933,1.04331294034989,0.363075940920022,2.87353917669721,0.00405900732887671,0.0217754985319826
"Gm33973",33.6357314079971,-2.34127048211391,0.324246759387511,-7.22064419868522,5.17418703600136e-13,2.19235130963589e-11
"Sfmbt2",313.145608908353,1.70704957083742,0.122872988646309,13.8927976737929,7.00450108714761e-44,2.63113307183181e-41
"Enkur",69.190409043407,1.08846402480731,0.241871361510593,4.5001773587802,6.78967879777683e-06,9.0527505772679e-05
"Tmem210",24.3976847107649,-1.10526926034375,0.312247001724654,-3.53972737684893,0.000400540564857687,0.00322363364374339
"Lrrc26",73.2557927842343,-1.10295582110709,0.183064585244645,-6.02495463354161,1.69157064840877e-09,4.47110277068585e-08
"Sohlh1",8.37648293011337,-4.05944521747931,0.861289340823389,-4.71321892083152,2.43833987487134e-06,3.62190819588303e-05
"1700001O22Rik",217.212795344794,-1.03945006773785,0.144289914388971,-7.20389967753211,5.85144255768092e-13,2.44745669120303e-11
"Gm14424",11.2818236033072,1.44607021707822,0.472541200071774,3.06019923100584,0.00221189799313077,0.0133184351109197
"Gm39857",18.1340507766576,-1.83032839354922,0.399393483047392,-4.58276980281131,4.58857088219007e-06,6.40203964584419e-05
"Chrm4",4734.99537087558,-1.00697319760314,0.0625768111309281,-16.0917946984591,2.91270154864766e-58,2.10717775369388e-55
"Rag1",10.4615582136061,1.30336578664114,0.512010047782268,2.54558634598397,0.0109094379392563,0.0485186819825803
"Wt1",46.4324301708589,5.85078933778454,0.634090012649162,9.22706433009494,2.78150564675225e-20,2.56279008481187e-18
"Gm39903",27.4728984880288,-1.54061791695562,0.392042403576016,-3.92972265985227,8.50438945287703e-05,0.000835174656526129
"Bbox1",65.1994151482009,1.05242798537308,0.21242140913743,4.95443462900763,7.25408985147434e-07,1.20488211793238e-05
"Gm13974",32.0470705576852,-1.01965082445336,0.300537263651683,-3.39276005931535,0.000691922175299591,0.00510397124249506
"Mir674",9.45657437724789,-1.70728793836989,0.524894726698891,-3.25262924454808,0.0011434258269894,0.00774074706075626
"Gpat2",84.9106693830459,-1.05617797792332,0.194943187938209,-5.41787578778132,6.03112910535285e-08,1.27083111990137e-06
"Slc4a11",367.801368229161,-1.98796128518818,0.165093196656875,-12.0414488630922,2.15143469587073e-33,5.31949036891683e-31
"Tpx2",103.363865579276,1.08434372326954,0.167295526066058,6.48160622562842,9.07512392927866e-11,2.93484098858609e-09
"Gm33977",16.4664661717699,-1.0039703407677,0.390481643103103,-2.57110765256285,0.0101373809424903,0.0457591086897766
"Sla2",9.84579989619357,-2.46361524229942,0.656567761498522,-3.75226349322508,0.000175245131087803,0.00157798723839358
"1110015O18Rik",46.8751512988674,1.18840051556108,0.230443643762916,5.15701147645332,2.50922429309009e-07,4.64575148027761e-06
"Gm30223",218.705305699742,1.24161065922057,0.121439444017981,10.2241135016786,1.54636296899722e-24,2.08311088782226e-22
"Ect2",36.7592032457601,1.02655725656423,0.261798071377996,3.92117959907369,8.8116555056379e-05,0.000864046521042294
"Tmem212",55.0783265568001,1.01552296945499,0.310035083933571,3.27550984414583,0.00105471438488424,0.00723629648048609
"Strit1",20.5951271129508,-2.27942962375641,0.384602624871889,-5.92671364246588,3.09057221810056e-09,7.81970817825884e-08
"Shox2",169.739636843748,3.6982993462005,0.948228617752767,3.90021907898667,9.61056827314708e-05,0.000932091509828112
"S100a9",16.3094407047708,-1.44018376915093,0.547638247252173,-2.62980859422655,0.00854329541823563,0.0399320864810712
"Sprr1a",14.1378613486742,-1.40098713997309,0.507213524577646,-2.76212496727031,0.00574264936436258,0.0288803218419398
"Bnipl",20.5570894225948,-1.46223794034127,0.365320622923564,-4.00261537013533,6.26461022523091e-05,0.00063811392856477
"Ankrd35",605.582678611533,-1.10605562687921,0.102446221238876,-10.7964511868154,3.57765367354136e-27,5.97284694062252e-25
"Nhlh2",14.1558103294138,1.7375302740228,0.580602624310414,2.99263248437169,0.002765825920026,0.0159695747022717
"Pifo",26.078803464712,1.01525282471294,0.341166302049067,2.97582973058964,0.00292197045133995,0.0167192052640211
"Gm12500",37.7070113804171,-1.07901310033532,0.257718080533706,-4.18679627793594,2.82919549827667e-05,0.000319622184313696
"Arsj",16.7553330596752,1.75375268246987,0.5079145017261,3.4528501874034,0.000554696973095674,0.0042390046852417
"Dkk2",36.4194923319454,-1.09206020782774,0.284895376096215,-3.83319737509159,0.000126488383622154,0.0011861246266402
"Ddit4l",830.943322638765,-2.07564146247136,0.114082418462028,-18.1942273880023,5.73419654943936e-74,8.00043294287136e-71
"Gm34162",96.6781723708312,-1.1057457139713,0.242221656953931,-4.56501589443592,4.99456497000583e-06,6.89461749534444e-05
"Gm52634",9.09043117846484,-1.41788459434225,0.514495519681965,-2.75587355011121,0.00585356217709504,0.0293173410269737
"Penk",46647.8678437293,-1.28557169533542,0.0597470540037977,-21.5169051724911,1.08144350330046e-102,5.28095898749198e-99
"Gm52726",140.243853933312,-1.69988859691952,0.182376843797777,-9.32074797173475,1.15523000945261e-20,1.07967022845157e-18
"Gm33105",13.6160312357323,-1.15830452320523,0.447527788938712,-2.58822927164385,0.00964707466817586,0.0440271751152988
"Cnr1",12393.2136119709,-1.26116576327948,0.0823046302178167,-15.3231447604082,5.35621164733343e-53,3.26946506585512e-50
"Cfap206",68.7853836741914,1.23659328438392,0.293046154523293,4.21979017740575,2.44529796647077e-05,0.00028179354087949
"Tmem215",26.3869009006532,2.13590278103454,0.545849423460295,3.91298898420455,9.11606947077316e-05,0.000890320924863061
"Arid3c",17.1860316545453,-2.83973807678542,0.469472392601731,-6.04878608739506,1.45941280752009e-09,3.91038551019065e-08
"Cd72",141.240537791346,-1.02528975439498,0.196196203605523,-5.2258389079559,1.73367252488102e-07,3.31998288514716e-06
"Arhgef39",248.799904627945,-1.21329858508724,0.126154744194567,-9.61754227186245,6.74228464005751e-22,7.04262277402371e-20
"Ccdc180",48.9060462176676,1.22640692451149,0.332073504237735,3.69317909697936,0.000221467932556377,0.00193127861155392
"Gm42281",18.5012218519308,-1.06007672208117,0.370359864672245,-2.86228833952971,0.00420594080051625,0.0224282396004597
"Gm33106",27.7978212955704,1.04343426887544,0.29703013398542,3.5128902743809,0.000443260489423278,0.00351816624945343
"Ptpn3",707.281501509913,1.38944606689514,0.502198252168746,2.76672820125281,0.00566219406708129,0.0285271180583696
"Stil",28.4753286990414,1.4448718313848,0.303704942021267,4.75748541254763,1.96019417005969e-06,2.95207962403824e-05
"Cyp4x1os",27.0711150003236,1.15058269577516,0.321612820950094,3.5775398890385,0.000346843301534012,0.00283468209575894
"Gm12930",144.277889438072,-1.77795777875552,0.170947552917901,-10.4006038601173,2.46366921702039e-25,3.61825945985408e-23
"Gm32371",57.4593319806728,-1.91591912436125,0.270408228222556,-7.08528411637082,1.38759324607806e-12,5.50891440561846e-11
"Clspn",747.140215716014,-1.56358720946635,0.146417472890628,-10.6789659635386,1.27685956759265e-26,2.0277152791697e-24
"Pum1",21.4739617403829,4.72827227017135,1.46781377539006,3.22130255857207,0.00127609354317726,0.00843802815805058
"Sytl1",19.4688287574237,-1.60705125880928,0.39857169335576,-4.03202556929913,5.52981689282014e-05,0.000571199964925731
"Ifnlr1",31.1937746266729,1.30804309171923,0.290813174277391,4.49788113956473,6.86340478100546e-06,9.12613244298023e-05
"E2f2",28.952276509981,1.0964244726118,0.330199347525334,3.32049254739269,0.000898587582220641,0.00633193046302878
"Gm13003",17.1894302965148,-1.03336770529086,0.371833680144321,-2.77911270676118,0.00545076091415635,0.0276688443181435
"Rap1gapos",27.3269293295907,-1.30628825479019,0.29647304605663,-4.40609449042689,1.05251064692007e-05,0.000133411359288058
"Gm32549",23.6747621291242,-1.41441792097027,0.333664283105444,-4.23904502995093,2.24472633375091e-05,0.000260215071081048
"Spata21",21.3754334128253,-1.24000404673458,0.354905721012665,-3.49389703608169,0.000476024571543103,0.00371927518238057
"Tnfrsf25",335.349884333328,-1.95799406470092,0.146977498874563,-13.3217266567582,1.73058235374099e-40,5.8281836406246e-38
"Mmp23",175.11699265762,-1.17595173062373,0.159966389483067,-7.35124256053931,1.96372687356295e-13,8.69784059440023e-12
"LOC100862220",33.6272825144458,1.11603953032454,0.395215870367835,2.82387326522547,0.00474471421437975,0.0247340546435761
"LOC100041599",25.4106780198483,-1.26103673560367,0.419490260528714,-3.00611683812228,0.00264607303136099,0.0154562633138679
"Gm29868",8.21660250892597,2.06491652840726,0.598689968273888,3.44905817339936,0.000562545496103464,0.00429120276867177
"Gm40262",20.9223327588424,1.08248993891651,0.402267911032728,2.69096765918383,0.00712451011042662,0.0345656700488476
"Slc26a5",114.831700438342,-1.34805480529606,0.213126718182391,-6.32513284487593,2.530148161695e-10,7.5683589651437e-09
"Gm10471",8.56565688729321,2.63410939562542,0.820037290789964,3.21218245220033,0.00131730686774097,0.008666539254828
"Gm52769",30.8494526613533,1.28073652323286,0.35754749482512,3.58200390652796,0.000340968692801358,0.00278900396837895
"9530036O11Rik",29.8811732166499,-1.04381059604461,0.351388389859373,-2.97053239710723,0.00297284047638297,0.0169295898032619
"5830416I19Rik",10.0024843084419,-1.52351807684662,0.505709930974219,-3.01263230862732,0.00258992509424923,0.0151873331930262
"Ccdc158",16.0950940762789,1.3017659976434,0.417858983037146,3.11532371084069,0.00183743143015415,0.011455511903114
"Gm8493",385.427701932655,-1.36948546974352,0.106570779830848,-12.8504780758591,8.5480327516901e-38,2.52982914755701e-35
"Gm42155",8.99464273390042,-1.72452418743852,0.557366905701177,-3.09405558492756,0.00197440491299332,0.0121506147339315
"Gm42154",39.7720465306913,-1.51038835642246,0.27333862659505,-5.52570405155394,3.28166914769578e-08,7.24303315954143e-07
"4833439F03Rik",49.8244904286876,1.00406317276064,0.259443421692413,3.87006602908213,0.000108805880065351,0.0010413058575779
"Gm30466",783.440164612666,-2.18983257485733,0.122970815377782,-17.8077421714241,6.15427751135606e-71,7.07126486054812e-68
"Hrk",1898.75136061175,-1.28930254035559,0.0730842608293164,-17.6413160060095,1.1866490496001e-69,1.28771199365771e-66
"Cfap73",9.54977495665432,1.72583226937794,0.574949119493473,3.00171304010065,0.00268465115167096,0.0156301443453415
"Adam1b",25.2588196438255,-1.34194495102014,0.330776373723444,-4.05695526531806,4.97165999413732e-05,0.000521543687784555
"Lrrc43",22.006608502792,1.22104237353596,0.381916153949683,3.1971477532653,0.00138793812705857,0.00906733899571948
"Auts2",42.4991087022145,1.13628226228664,0.431548694032615,2.63303371786074,0.00846259456651529,0.0396307503399048
"Abhd11os",344.770577618018,-1.92688690696406,0.148161969470703,-13.0052733089855,1.14189929832708e-38,3.48511234284733e-36
"Grid2ip",166.322883883853,1.62642483630624,0.600833461675756,2.70694783171706,0.00679049271523349,0.0332677938817797
"Gm33097",19.5565615438821,1.27574438155761,0.374482256541975,3.40668845925577,0.000657561365452333,0.00489114476442514
"A430010J10Rik",11.3341039259043,-1.27918833578886,0.474228454863885,-2.69740949255359,0.00698812782141918,0.0340396759939603
"Gm52906",7.70480749146866,-1.99674092984036,0.659718073359081,-3.02665791718207,0.00247273621287096,0.0146407870403178
"1810020O05Rik",346.434618337058,-1.12369151437862,0.130438687959916,-8.61471034363622,7.01186401320797e-18,5.03539484448498e-16
"Tafa4",48.7403450935904,1.31717290312583,0.429702707290692,3.06531208851511,0.00217442968773383,0.0131333132623701
"Il17rc",268.651100633034,-1.20612345384389,0.14927473018146,-8.07989036307558,6.48250274913881e-16,3.95696019371651e-14
"Gm38888",92.9390377641925,-1.30526396674371,0.178674968745859,-7.30524245172962,2.76767229267745e-13,1.20941706695456e-11
"Clec12b",11.1908484846444,-1.4380740963806,0.510725084492362,-2.81574988197414,0.00486635363600024,0.0252871736025519
"B230110G15Rik",37.636235822088,1.0190096982275,0.273921501381481,3.7200792675576,0.000199160260520047,0.00176238984787807
"Pik3c2g",10.4737543940252,1.76798968132741,0.625917566470182,2.82463662315449,0.00473342635394274,0.0246883890444763
"Ssc5d",239.128377427877,-1.01132313609153,0.130925310611885,-7.72442800681601,1.12356720433296e-14,5.8524368539295e-13
"Psg16",56.9681576412809,1.15625245200705,0.245513108229176,4.70953449429564,2.48283193934872e-06,3.67402699024988e-05
"Cyp2a5",42.3141002159756,-1.181111551543,0.265593630950768,-4.44706278277409,8.70524013351518e-06,0.000112983026928872
"Hipk4",4025.514056054,-1.32515048696294,0.0551566777365239,-24.025204949671,1.51656893723806e-127,9.87438035035703e-124
"Ryr1",5315.93480911118,-1.99757195652557,0.107731390601463,-18.5421532700279,9.43666325765887e-77,1.41789494932193e-73
"Dmkn",418.202438302433,-1.12047079310029,0.131578463933179,-8.51560931482916,1.65716636700209e-17,1.1601946468334e-15
"Ffar3",28.7397748822445,-1.91201733367547,0.349928107076407,-5.46402902484762,4.65447381722277e-08,1.00017422521246e-06
"Kash5",83.8235550637642,-1.52232456129916,0.206526608865359,-7.37108196209045,1.69248743391177e-13,7.58242134096299e-12
"Mir7056",33.9198478950196,-1.40745148529161,0.262594584784176,-5.35978868889613,8.3319351006283e-08,1.70238167699344e-06
"Slc17a6",541.236104303388,2.23555661822099,0.661023347347434,3.38196317451097,0.000719697918344659,0.00527301554352072
"BC046251",45.1723680395512,1.53478488693512,0.25766334509,5.95655112060674,2.57616554459759e-09,6.62108441876642e-08
"Gm44812",26.1448287618524,1.03757866623614,0.409328522540052,2.53483109312182,0.0112501556514426,0.0497170340134905
"Tmc3",218.605251477256,1.22790349539205,0.114230195760349,10.749377493567,5.96629089062218e-27,9.79324033332126e-25
"Gm39043",333.061449776261,-1.56860440214789,0.127967324777099,-12.2578510168919,1.52490377141801e-34,3.97145938228107e-32
"Gm34877",6.35673403706167,1.75360365523181,0.689134656371178,2.54464586713122,0.0109388613315629,0.048605272609058
"Gm20476",14.5999156032882,-1.59509297024814,0.415278189036898,-3.84102274657728,0.000122522759139143,0.00115559490790192
"Stk33",46.6867505860504,1.05039924219124,0.241905261209335,4.3421926292139,1.41067764373108e-05,0.000171784530924414
"Gpr139",554.896609612115,-1.25911663839626,0.114949463525839,-10.9536538908094,6.38201419858902e-28,1.12368599699017e-25
"Lat",39.7877712252167,-1.15666367916062,0.264716125224797,-4.36944926637312,1.24560273150321e-05,0.000153989608572483
"Itgax",21.4505642841977,1.14723588136149,0.39417998072565,2.91043669759567,0.003609240711833,0.0197809480427144
"Itgad",18.2224979385177,1.40280313947756,0.446767775760408,3.13989328592457,0.00169009387744074,0.0106830796713878
"Gm35147",31.661255416821,-1.34443497825648,0.308036515157211,-4.36453119062956,1.27395672377254e-05,0.00015680023116225
"Gm36737",39.6129842266,-1.12894768628301,0.252678067007517,-4.46792909116812,7.89804753304723e-06,0.000103538632525511
"Fgf3",159.502799484964,-1.62608864952569,0.163021440794013,-9.97469192767312,1.96710953324125e-23,2.32870003107887e-21
"Gm33532",10.9465017735067,1.3846266395334,0.479940985404773,2.88499353387298,0.00391421701218532,0.0211146979510263
"Got1l1",17.828360579432,1.06308309779817,0.414791150532534,2.56293582067341,0.0103791232433028,0.0465844242443549
"Gm19410",2345.78718702246,-1.14535897566393,0.0639393627115871,-17.913205998476,9.30200602415709e-72,1.13560052293663e-68
"Gm30504",13.7263842668855,1.18115500116538,0.415140470629965,2.84519357838808,0.00443844405647046,0.0233997645762584
"Gm32507",37.3573644717289,-1.36512380953385,0.276371927158748,-4.93944455056656,7.83454175234618e-07,1.29359344081638e-05
"Tm6sf2",139.710121497405,-1.26237426113351,0.181659994958068,-6.9491043497216,3.67612568824077e-12,1.38354071422749e-10
"Gm38426",22.7797877601925,1.20047822015171,0.354550617716433,3.38591490231684,0.000709413788438813,0.00521134995471054
"Crnde",47.5640895428165,2.26835939505622,0.266252568703912,8.51957750529259,1.60136414941455e-17,1.12515992555807e-15
"Gm32005",12.0248362224316,1.4907054426984,0.481040130315988,3.09892116842554,0.0019422669200585,0.0119830384553072
"Plekhg4",577.138383136588,-1.50460361596615,0.146972443125156,-10.2373178534216,1.34924966763403e-24,1.8429995634892e-22
"Lrrc36",37.2491620337731,1.21508176312778,0.33044181224155,3.67714289812563,0.000235860926061958,0.00203492556040999
"Nrn1l",105.920225575769,-1.07441495757029,0.160643092369815,-6.68821137417404,2.25914676269348e-11,7.81025021516668e-10
"Calb2",270.481033579842,1.50431072180539,0.32586844176091,4.61631299329411,3.906176859234e-06,5.53696317789679e-05
"Hydin",90.6766070910778,1.0668754779262,0.279428807927053,3.81805829485096,0.000134506146700608,0.0012510993159538
"Slc38a8",39.5449147499269,-1.00427293714639,0.250484210109748,-4.00932632322962,6.08922196971596e-05,0.000621425144903144
"Piwil4",20.2955648869154,-1.48049969265939,0.395827605983147,-3.74026386811038,0.000183827171992604,0.00164484477807217
"Gm10706",71.0186907231649,-1.1924588450815,0.232046204438479,-5.13888536969219,2.76372920998376e-07,5.05941168309398e-06
"Gm34651",42.0408667526884,-1.39445027909251,0.291466236232421,-4.78426008143374,1.71618349533293e-06,2.62713261867853e-05
"Deup1",12.6950360086264,1.20792695000925,0.476224039999869,2.53646781462269,0.0111977035388591,0.0495720895119182
"Zglp1",57.1446238287092,-1.13734881787666,0.231336931154395,-4.91641698625971,8.81425488686093e-07,1.43833617965793e-05
"Gm7244",62.7203335624829,-1.92772107246642,0.214332348029921,-8.99407434381907,2.38231202661431e-19,1.98015748152584e-17
"AW551984",301.855414773026,1.74058933786718,0.484194322500942,3.59481567003256,0.000324621331108827,0.00268111139980918
"Jhy",7.97150579700094,1.60216614437049,0.608766427458986,2.63182408244487,0.00849278250134737,0.0397435363197935
"Scn4b",55560.4512302814,-1.50132393915282,0.0780080188668725,-19.2457642298923,1.53187592015419e-82,2.99221323483718e-79
"BC049352",155.740058487262,-1.26829475534135,0.138755306470253,-9.14051352416746,6.2156468661911e-20,5.51864682896867e-18
"Gm46111",162.382772238344,-1.26176365578415,0.135840020798782,-9.28860028410319,1.56330578389891e-20,1.45409770842368e-18
"Ankk1",452.265477031689,-1.15476542693153,0.136680631494114,-8.44863982781099,2.94716135467238e-17,2.01989132423914e-15
"Hoatz",9.7543163162626,1.63068512945854,0.625160994429789,2.60842430028107,0.00909601280369637,0.0420148126716177
